,PC1,PC2,PC3,PC4,PC5,PC6,PC7
0,-0.525925489319162,-0.06744386641741698,-0.05176617522535912,0.0652354159614209,0.4494296969112907,0.268344340866018,0.026202654262027888
1,-0.5950779682483976,-0.191955279098579,0.25899226755668686,-0.07642174269629101,-0.0169304776600445,0.11453125113511621,0.008291262305650164
2,-0.3231653841848364,0.11243934946847223,-0.04665661744768672,0.09449828413766581,0.3042688001055669,0.07399290256607878,-0.023322428588284205
3,-0.30208245952096374,-0.13162170201487514,-0.21917155579602146,0.2027555344102762,0.17210660502476463,-0.14631078452520677,-0.04155444996542841
4,-0.6358355759040123,0.028202864919493163,-0.10373432472507214,-0.018978543983742366,0.02302573988353768,-0.1843569278249021,0.04647193056659532
5,-0.5101632933973494,-0.11472887725606523,0.004729228424680715,-0.10915635961097915,-0.04992728286446156,-0.10395501307230107,0.018142224018316777
6,-0.36531899649960253,-0.2504094780239602,0.06659295696006798,-0.056070712989484774,-0.04874763737765044,-0.030603969154287324,-0.02019765427990864
7,-0.5407457156728886,-0.055858361445371124,-0.27063493965048335,0.006126836841072477,0.049357016632423194,-0.07032499034003642,-0.017774796877121718
8,-0.6034760169696616,0.10844121992389379,-0.03459564619569966,-0.049643922376360484,-0.048343090718888926,0.014192432651022312,0.03266392966267917
9,-0.22715674446314568,0.09224731154741708,0.04246419900458847,-0.039503958214764004,-0.12297192614085391,0.07781799957011178,-0.06453559373263457
10,-0.5190746975906565,-0.159556155390174,-0.1623384228635092,-0.19331137473876525,-0.2398778803060635,-0.3437267565379004,-0.025622618846002802
11,-0.434479135432787,0.416069317022984,-0.10414085856493145,-0.03790594673896686,0.01726930043206748,0.040621672216333546,0.038661444522015746
12,-0.3207886164810842,0.6483102347976342,0.1391712427827659,-0.16865919426512277,-0.13825859066936214,0.12368588135867052,0.009725491723640334
13,-0.4649931927478418,0.22810438238318181,-0.0023857828671715875,0.030592749265733778,-0.034214036080705584,0.055783373321899074,0.017402639361318598
14,-0.363644197259071,0.432921061775905,0.07952967550096489,-0.04105466961758535,0.0163959629934923,0.1266888003904888,-0.01030420133803634
15,-0.3190632654408661,-0.07388074442205816,0.09421823872466212,0.12083183055779807,0.25428248070113785,-0.06632186061701889,-0.013432426400684046
16,-0.49123551281693334,0.025605306427711867,0.11767431584325057,-0.09446381621579812,-0.0964347716782866,-0.05703552197203066,0.06810672189459195
17,-0.33096719618565973,0.019447468641561758,-0.07797321372316192,0.00672041323833061,-0.028307466094681627,-0.06578552226782444,0.008510181968063921
18,-0.3631293981263664,-0.14748194130734793,-0.11910809824394537,0.0006832595463772116,-0.056193053914905554,-0.08416025518124216,-0.04228697570066402
19,-0.6084726934811808,0.21114908338598748,-0.17778267786101776,-0.06758326528996472,-0.05765688405211089,0.030242586217188762,0.002976025316742558
20,-0.5432100221234726,-0.05665445387450103,-0.21485748014796402,0.04321004209410684,0.03246913836466204,0.07410425314186476,0.03151040242169428
